Rank,Name,Team,Sort▼,WAR▼,WAA (야수),WAA (야수),WAA (야수),WAA (야수),Rep. Wins,Pos. Wins,WAA (투수),WAA (투수),Rep. Win (투수),Rep. Win (투수),WAR (투수),WAR (투수),탭,하위 탭,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,rRA,TBF,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,Sort▼,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
Rank,Name,Team,WAR,WAR▼,BT,SB,BR,Def,Rep. Wins,Pos. Wins,GS,GR,GS,GR,GS,GR,,,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,rRA,TBF,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
12,헤이수스,24 P,5.09,5.09,0.00,0.00,0.00,0.00,0.00,0.00,2.04,,,,5.09,,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,오스틴,24 1B,5.06,5.06,4.00,-0.16,-0.06,0.14,0.23,-1.12,0.00,0.00,0.00,0.00,0.00,0.00,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,쿠에바스,24 P,5.06,5.06,0.00,0.00,0.00,0.00,0.00,0.00,1.98,,,,5.06,,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,홍창기,24 RF,5.06,5.06,3.03,-0.36,0.07,0.49,0.25,0.19,0.00,0.00,0.00,0.00,0.00,0.00,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,레예스,24 P,5.06,5.06,0.00,0.00,0.00,0.00,0.00,0.00,2.50,,,,5.06,,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,양현종,24 P,5.01,5.01,0.00,0.00,0.00,0.00,0.00,0.00,1.97,,,,5.01,,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,곽빈,24 P,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,2.02,,,,5.00,,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,네일,24 P,4.90,4.90,0.00,0.00,0.00,0.00,0.00,0.00,2.24,,,,4.90,,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,박민우,24 2B,4.70,4.70,1.74,0.23,0.00,0.63,0.20,0.83,0.00,0.00,0.00,0.00,0.00,0.00,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Name,Team,Sort▼,WAR▼,WAA (야수),WAA (야수),WAA (야수),WAA (야수),Rep. Wins,Pos. Wins,WAA (투수),WAA (투수),Rep. Win (투수),Rep. Win (투수),WAR (투수),WAR (투수),종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Name,Team,WAR,WAR▼,BT,SB,BR,Def,Rep. Wins,Pos. Wins,GS,GR,GS,GR,GS,GR,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,최정,24 3B,4.55,4.55,2.74,0.03,-0.02,0.01,0.21,-0.34,0.00,0.00,0.00,0.00,0.00,0.00,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,임찬규,24 P,4.46,4.46,0.00,0.00,0.00,0.00,0.00,0.00,2.02,0.06,,,4.39,0.07,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,류현진,24 P,4.44,4.44,0.00,0.00,0.00,0.00,0.00,0.00,1.62,,,,4.44,,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,에레디아,24 LF,4.42,4.42,2.67,-0.10,0.04,0.33,0.23,-0.40,0.00,0.00,0.00,0.00,0.00,0.00,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,박동원,24 C,4.40,4.40,0.88,-0.02,-0.04,0.98,0.19,0.95,0.00,0.00,0.00,0.00,0.00,0.00,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,엔스,24 P,4.33,4.33,0.00,0.00,0.00,0.00,0.00,0.00,1.35,,,,4.33,,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,문보경,24 3B,4.32,4.32,2.50,-0.14,0.13,-0.09,0.23,-0.71,0.00,0.00,0.00,0.00,0.00,0.00,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,손주영,24 P,4.31,4.31,0.00,0.00,0.00,0.00,0.00,0.00,1.68,0.07,,,4.23,0.08,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,엘리아스,24 P,4.09,4.09,0.00,0.00,0.00,0.00,0.00,0.00,2.03,-0.13,,,4.18,-0.09,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,박세웅,24 P,4.06,4.06,0.00,0.00,0.00,0.00,0.00,0.00,0.98,,,,4.06,,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Name,Team,Sort▼,WAR▼,WAA (야수),WAA (야수),WAA (야수),WAA (야수),Rep. Wins,Pos. Wins,WAA (투수),WAA (투수),Rep. Win (투수),Rep. Win (투수),WAR (투수),WAR (투수),종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Name,Team,WAR,WAR▼,BT,SB,BR,Def,Rep. Wins,Pos. Wins,GS,GR,GS,GR,GS,GR,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,김지찬,24 CF,3.98,3.98,1.06,0.49,0.11,0.43,0.21,0.24,0.00,0.00,0.00,0.00,0.00,0.00,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,데이비슨,24 1B,3.98,3.98,3.41,-0.10,-0.05,-0.30,0.22,-1.09,0.00,0.00,0.00,0.00,0.00,0.00,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,엄상백,24 P,3.93,3.93,0.00,0.00,0.00,0.00,0.00,0.00,1.14,,,,3.93,,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,앤더슨,24 P,3.86,3.86,0.00,0.00,0.00,0.00,0.00,0.00,1.72,0.09,,,3.75,0.10,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,권희동,24 LF,3.77,3.77,2.12,0.00,-0.01,0.30,0.20,-0.50,0.00,0.00,0.00,0.00,0.00,0.00,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,김주원,24 SS,3.75,3.75,0.36,0.06,-0.01,0.86,0.18,2.05,0.00,0.00,0.00,0.00,0.00,0.00,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,강승호,24 2B,3.71,3.71,0.37,0.04,0.05,0.66,0.22,0.91,0.00,0.00,0.00,0.00,0.00,0.00,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,박성한,24 SS,3.60,3.60,0.43,0.03,-0.03,0.04,0.22,1.20,0.00,0.00,0.00,0.00,0.00,0.00,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,소크라테스,24 LF,3.42,3.42,1.74,-0.03,-0.09,-0.12,0.23,-0.18,0.00,0.00,0.00,0.00,0.00,0.00,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,김광현,24 P,3.42,3.42,0.00,0.00,0.00,0.00,0.00,0.00,0.53,,,,3.42,,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Name,Team,Sort▼,WAR▼,WAA (야수),WAA (야수),WAA (야수),WAA (야수),Rep. Wins,Pos. Wins,WAA (투수),WAA (투수),Rep. Win (투수),Rep. Win (투수),WAR (투수),WAR (투수),종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Name,Team,WAR,WAR▼,BT,SB,BR,Def,Rep. Wins,Pos. Wins,GS,GR,GS,GR,GS,GR,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,레이예스,24 RF,3.40,3.40,2.42,0.02,0.02,-0.55,0.25,-0.64,0.00,0.00,0.00,0.00,0.00,0.00,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,강민호,24 C,3.32,3.32,0.83,0.01,-0.07,0.32,0.18,0.81,0.00,0.00,0.00,0.00,0.00,0.00,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,최원태,24 P,3.30,3.30,0.00,0.00,0.00,0.00,0.00,0.00,1.13,-0.05,,,3.28,0.02,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,하영민,24 P,3.25,3.25,0.00,0.00,0.00,0.00,0.00,0.00,0.58,,,,3.25,,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,김택연,24 P,3.23,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.37,0.00,0.00,0.00,3.23,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,장성우,24 C,3.23,3.23,0.33,0.03,0.02,0.07,0.19,1.01,0.00,0.00,0.00,0.00,0.00,0.00,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,양의지,24 C,3.21,3.21,1.54,-0.08,-0.11,-0.18,0.19,0.08,0.00,0.00,0.00,0.00,0.00,0.00,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,허경민,24 3B,3.20,3.20,1.20,0.01,0.05,0.33,0.19,0.03,0.00,0.00,0.00,0.00,0.00,0.00,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,벤자민,24 P,3.19,3.19,0.00,0.00,0.00,0.00,0.00,0.00,0.53,,,,3.19,,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,도슨,24 CF,3.17,3.17,2.08,-0.12,-0.05,0.06,0.17,-0.36,0.00,0.00,0.00,0.00,0.00,0.00,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,김도영,24 3B,8.32,8.32,,,,,,,,,,,,,타격,default,8.51,-0.18,141,625,619,544,143,189,29,10,38,352,109,40,4,66,7,7,110,10,1,7,0.347,0.420,0.647,1.067,0.232,172.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,로하스,24 RF,6.50,6.50,,,,,,,,,,,,,타격,default,6.34,0.16,144,670,664,572,108,188,39,1,32,325,112,2,1,88,6,9,115,10,0,4,0.329,0.421,0.568,0.989,0.211,153.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,송성문,24 3B,6.13,6.13,,,,,,,,,,,,,타격,default,5.83,0.29,142,602,601,527,88,179,29,4,19,273,104,21,0,64,3,2,82,5,0,8,0.340,0.409,0.518,0.927,0.191,148.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,구자욱,24 LF,5.69,5.69,,,,,,,,,,,,,타격,default,5.61,0.08,129,568,563,493,92,169,39,1,33,309,115,13,4,55,12,4,73,6,2,6,0.343,0.417,0.627,1.044,0.228,162.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,김혜성,24 2B,5.16,5.16,,,,,,,,,,,,,타격,default,4.47,0.69,127,567,565,509,90,166,26,4,11,233,75,30,6,47,4,2,62,6,0,7,0.326,0.383,0.458,0.841,0.160,124.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,오스틴,24 1B,5.06,5.06,,,,,,,,,,,,,타격,default,4.90,0.17,140,604,600,527,99,168,32,3,32,302,132,12,8,61,3,6,82,9,0,13,0.319,0.384,0.573,0.957,0.192,147.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,홍창기,24 RF,5.06,5.06,,,,,,,,,,,,,타격,default,4.48,0.59,139,637,635,524,96,176,18,3,5,215,73,10,11,96,12,3,93,8,1,4,0.336,0.447,0.410,0.857,0.185,142.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,박민우,24 2B,4.70,4.70,,,,,,,,,,,,,타격,default,4.11,0.58,121,528,520,457,75,150,26,2,8,204,50,32,7,54,9,4,79,5,4,4,0.328,0.406,0.446,0.852,0.172,129.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,최정,24 3B,4.55,4.55,,,,,,,,,,,,,타격,default,4.65,-0.09,129,550,550,468,93,136,27,2,37,278,107,5,1,55,20,1,114,10,0,7,0.291,0.384,0.594,0.978,0.202,145.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,에레디아,24 LF,4.42,4.42,,,,,,,,,,,,,타격,default,4.09,0.33,136,591,588,541,82,195,31,1,21,291,118,4,3,28,13,3,73,12,0,9,0.360,0.399,0.538,0.937,0.191,137.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Name,Team,Sort▼,WAR▼,,,,,,,,,,,,,타격,default,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
