Rank,Name,Team,정렬▼,WAR▼,WAA (야수),WAA (야수),WAA (야수),WAA (야수),Rep. Wins,Pos. Wins,WAA (투수),WAA (투수),Rep. Win (투수),Rep. Win (투수),WAR (투수),WAR (투수),탭,하위 탭,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,비율,비율,비율,비율,비율,비율,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,rRA,TBF,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,정렬▼,TC,PO,Ass,E,F%,RF9,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,수비 관련 득점 기여도,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
Rank,Name,Team,WAR,WAR▼,BT,SB,BR,Def,Rep. Wins,Pos. Wins,GS,GR,GS,GR,GS,GR,,,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,rRA,TBF,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAAwithPOS,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS▼
17,김동수,90LC,58.94,58.94,8.28,0.29,0.0,2.84,3.16,15.34,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,장종훈,87빙SS,58.79,58.79,35.17,0.06,0.0,-3.09,3.33,-8.22,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,손광민,07롯RF,58.3,58.3,29.23,1.19,0.53,0.18,3.73,-4.6,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,이만수,82삼C,58.06,58.06,31.08,0.42,0.0,-1.52,2.4,10.3,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,오지환,09LSS,57.43,57.43,6.29,0.26,0.56,6.11,3.07,21.77,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,김재현,94LRF,56.9,56.9,36.02,0.19,0.0,-1.62,3.02,-6.79,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,전준호,91롯CF,56.13,56.13,15.45,-0.37,0.0,-1.64,3.66,-5.64,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,박재홍,96현CF,55.89,55.89,31.79,-2.08,0.0,1.28,3.1,-4.06,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,김기태,91쌍1B,55.45,55.45,41.56,-0.32,0.0,-0.05,2.71,-11.53,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,박한이,01삼RF,53.63,53.63,20.85,-1.21,-0.18,2.15,3.73,-6.62,0.0,0.0,0.0,0.0,0.0,0.0,종합,default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
