순위,선수명,팀명,AVG,G,PA,AB,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,E,Season,Category,R,TB,SAC,SF
25,정현석,한화,0.287,121,403,356,102,15,1,4,27,,,,,,,,2013,hitter,47,131,3,0
26,박한이,삼성,0.284,112,466,394,112,12,3,6,55,,,,,,,,2013,hitter,56,148,18,2
27,김민성,넥센,0.282,128,523,458,129,24,2,15,72,,,,,,,,2013,hitter,60,202,3,4
28,조영훈,NC,0.282,120,426,380,107,26,3,6,39,,,,,,,,2013,hitter,38,157,3,2
29,정근우,SK,0.280,112,476,407,114,19,3,9,35,,,,,,,,2013,hitter,64,166,11,1
30,이호준,NC,0.278,126,508,442,123,25,1,20,87,,,,,,,,2013,hitter,46,210,0,5
1,서건창,넥센,0.370,128,616,543,201,41,17,7,67,,,,,,,,2014,hitter,135,297,4,2
2,김태균,한화,0.365,118,508,422,154,30,0,18,84,,,,,,,,2014,hitter,66,238,0,5
3,손아섭,롯데,0.362,122,570,483,175,25,3,18,80,,,,,,,,2014,hitter,105,260,0,2
4,강정호,넥센,0.356,117,501,418,149,36,2,40,117,,,,,,,,2014,hitter,103,309,0,2
5,최형우,삼성,0.356,113,493,430,153,33,0,31,100,,,,,,,,2014,hitter,92,279,0,6
6,김주찬,KIA,0.346,100,442,399,138,32,4,9,46,,,,,,,,2014,hitter,72,205,6,2
7,민병헌,두산,0.345,124,527,470,162,31,3,12,79,,,,,,,,2014,hitter,85,235,8,6
8,테임즈,NC,0.343,125,514,443,152,30,6,37,121,,,,,,,,2014,hitter,95,305,0,6
9,박용택,LG,0.343,124,549,464,159,24,2,9,73,,,,,,,,2014,hitter,71,214,2,7
10,안치홍,KIA,0.339,126,479,434,147,31,2,18,88,,,,,,,,2014,hitter,65,236,2,4
11,이재원,SK,0.337,120,484,412,139,30,2,12,83,,,,,,,,2014,hitter,48,209,0,11
12,박한이,삼성,0.331,125,567,472,156,22,2,9,80,,,,,,,,2014,hitter,83,209,24,5
13,나성범,NC,0.329,123,536,477,157,28,5,30,101,,,,,,,,2014,hitter,88,285,1,1
14,정성훈,LG,0.329,112,455,383,126,25,1,13,59,,,,,,,,2014,hitter,71,192,2,4
15,피에,한화,0.326,119,498,445,145,33,2,17,92,,,,,,,,2014,hitter,61,233,0,12
16,이진영,LG,0.325,119,468,412,134,19,2,6,65,,,,,,,,2014,hitter,53,175,2,9
17,이대형,KIA,0.323,126,505,461,149,15,9,1,40,,,,,,,,2014,hitter,75,185,5,2
18,김현수,두산,0.322,125,528,463,149,26,0,17,90,,,,,,,,2014,hitter,75,226,0,5
19,황재균,롯데,0.321,128,550,486,156,33,3,12,76,,,,,,,,2014,hitter,66,231,4,4
20,오재원,두산,0.318,110,420,359,114,21,6,5,40,,,,,,,,2014,hitter,60,162,9,0
21,채태인,삼성,0.317,124,541,492,156,38,1,14,99,,,,,,,,2014,hitter,69,238,0,6
22,송광민,한화,0.316,103,421,389,123,22,2,11,58,,,,,,,,2014,hitter,52,182,4,2
23,유한준,넥센,0.316,122,469,405,128,31,0,20,91,,,,,,,,2014,hitter,71,219,8,7
24,홍성흔,두산,0.315,124,521,447,141,19,1,20,82,,,,,,,,2014,hitter,63,222,5,1
25,박석민,삼성,0.315,110,425,356,112,21,0,27,72,,,,,,,,2014,hitter,77,214,0,3
26,나지완,KIA,0.312,118,470,398,124,22,0,19,79,,,,,,,,2014,hitter,64,203,0,6
27,박정권,SK,0.310,120,499,452,140,33,2,27,109,,,,,,,,2014,hitter,81,258,0,4
28,박종윤,롯데,0.309,123,476,440,136,31,4,7,73,,,,,,,,2014,hitter,59,196,4,6
29,칸투,두산,0.309,111,419,376,116,25,1,18,72,,,,,,,,2014,hitter,56,197,0,2
30,이승엽,삼성,0.308,127,548,506,156,30,0,32,101,,,,,,,,2014,hitter,83,282,0,2
1,테임즈,NC,0.381,142,595,472,180,42,5,47,140,,,,,,,,2015,hitter,130,373,0,7
2,유한준,넥센,0.362,139,598,520,188,42,1,23,116,,,,,,,,2015,hitter,103,301,1,8
3,구자욱,삼성,0.349,116,465,410,143,33,5,11,57,,,,,,,,2015,hitter,97,219,0,4
4,마르테,KT,0.348,115,487,425,148,32,1,20,89,,,,,,,,2015,hitter,85,242,0,8
5,박병호,넥센,0.343,140,622,528,181,35,1,53,146,,,,,,,,2015,hitter,129,377,0,4
6,이용규,한화,0.341,124,585,493,168,15,7,4,42,,,,,,,,2015,hitter,94,209,11,4
7,이승엽,삼성,0.332,122,522,470,156,28,1,26,90,,,,,,,,2015,hitter,87,264,0,6
8,박용택,LG,0.326,128,533,487,159,28,2,18,83,,,,,,,,2015,hitter,66,245,1,7
9,나성범,NC,0.326,144,622,564,184,34,5,28,135,,,,,,,,2015,hitter,112,312,3,8
10,김현수,두산,0.326,141,630,512,167,26,0,28,121,,,,,,,,2015,hitter,103,277,0,9
11,양의지,두산,0.326,132,513,442,144,27,0,20,93,,,,,,,,2015,hitter,70,231,2,6
12,필,KIA,0.325,143,591,536,174,35,1,22,101,,,,,,,,2015,hitter,81,277,0,9
13,박석민,삼성,0.321,135,559,448,144,25,0,26,116,,,,,,,,2015,hitter,90,247,1,8
14,최형우,삼성,0.318,144,637,547,174,33,1,33,123,,,,,,,,2015,hitter,94,308,0,8
15,손아섭,롯데,0.317,116,517,445,141,28,1,13,54,,,,,,,,2015,hitter,86,210,0,3
16,허경민,두산,0.317,117,453,404,128,20,2,1,41,,,,,,,,2015,hitter,64,155,8,3
17,정근우,한화,0.316,126,552,468,148,30,2,12,66,,,,,,,,2015,hitter,99,218,13,2
18,김태균,한화,0.316,133,524,408,129,28,0,21,104,,,,,,,,2015,hitter,61,220,1,5
19,이명기,SK,0.315,137,582,521,164,30,2,3,35,,,,,,,,2015,hitter,88,207,11,4
20,아두치,롯데,0.314,132,594,526,165,34,5,28,106,,,,,,,,2015,hitter,105,293,1,4
21,강민호,롯데,0.311,123,456,380,118,18,1,35,86,,,,,,,,2015,hitter,63,243,0,2
22,김재호,두산,0.307,133,488,410,126,24,3,3,50,,,,,,,,2015,hitter,63,165,14,7
23,최준석,롯데,0.306,144,618,507,155,18,1,31,109,,,,,,,,2015,hitter,78,268,1,1
24,박민우,NC,0.304,141,617,520,158,31,6,3,47,,,,,,,,2015,hitter,111,210,3,7
25,민병헌,두산,0.303,129,561,491,149,20,2,12,75,,,,,,,,2015,hitter,80,209,6,6
26,김민성,넥센,0.303,118,489,445,135,24,0,16,71,,,,,,,,2015,hitter,60,207,2,3
27,이대형,KT,0.302,140,616,546,165,23,3,0,37,,,,,,,,2015,hitter,86,194,10,1
28,정훈,롯데,0.300,135,562,486,146,27,2,9,62,,,,,,,,2015,hitter,85,204,7,3
29,김성현,SK,0.297,129,449,397,118,20,0,8,48,,,,,,,,2015,hitter,49,162,12,2
30,정수빈,두산,0.295,128,570,491,145,27,7,2,59,,,,,,,,2015,hitter,79,192,19,6
1,최형우,삼성,0.376,138,618,519,195,46,2,31,144,,,,,,,,2016,hitter,99,338,0,7
2,김태균,한화,0.365,144,652,529,193,39,0,23,136,,,,,,,,2016,hitter,94,301,0,6
3,이용규,한화,0.352,113,530,452,159,20,4,3,41,,,,,,,,2016,hitter,98,196,7,1
4,김주찬,KIA,0.346,130,555,511,177,37,3,23,101,,,,,,,,2016,hitter,97,289,1,6
5,박용택,LG,0.346,138,578,509,176,24,0,11,90,,,,,,,,2016,hitter,84,233,0,7
6,구자욱,삼성,0.343,108,495,428,147,19,13,14,77,,,,,,,,2016,hitter,105,234,2,5
7,박민우,NC,0.343,121,515,435,149,16,6,3,55,,,,,,,,2016,hitter,84,186,10,7
8,유한준,KT,0.336,110,460,408,137,22,0,14,64,,,,,,,,2016,hitter,70,201,0,3
9,황재균,롯데,0.335,127,559,498,167,26,5,27,113,,,,,,,,2016,hitter,97,284,0,8
10,박건우,두산,0.335,132,540,484,162,36,4,20,83,,,,,,,,2016,hitter,95,266,4,5
11,고종욱,넥센,0.334,133,566,527,176,22,9,8,72,,,,,,,,2016,hitter,92,240,1,5
12,김재환,두산,0.325,134,568,492,160,32,3,37,124,,,,,,,,2016,hitter,107,309,0,5
13,송광민,한화,0.325,116,494,449,146,27,2,17,83,,,,,,,,2016,hitter,80,228,7,6
14,김문호,롯데,0.325,140,599,526,171,28,3,7,70,,,,,,,,2016,hitter,77,226,3,2
15,서건창,넥센,0.325,140,646,560,182,30,7,7,63,,,,,,,,2016,hitter,111,247,3,4
16,민병헌,두산,0.325,134,579,511,166,31,4,16,87,,,,,,,,2016,hitter,98,253,1,4
17,손아섭,롯데,0.323,144,672,575,186,33,1,16,81,,,,,,,,2016,hitter,118,269,0,2
18,강민호,롯데,0.323,116,460,381,123,26,0,20,72,,,,,,,,2016,hitter,65,209,0,3
19,로사리오,한화,0.321,127,532,492,158,31,2,33,120,,,,,,,,2016,hitter,78,292,1,2
20,테임즈,NC,0.321,123,529,436,140,30,3,40,121,,,,,,,,2016,hitter,118,296,0,7
21,이대형,KT,0.320,143,654,600,192,14,3,1,42,,,,,,,,2016,hitter,89,215,7,1
22,김성현,SK,0.319,138,530,479,153,28,0,8,65,,,,,,,,2016,hitter,66,205,5,7
23,오재일,두산,0.316,105,455,380,120,20,2,27,92,,,,,,,,2016,hitter,69,225,2,7
24,박경수,KT,0.313,121,476,402,126,22,1,20,80,,,,,,,,2016,hitter,64,210,0,4
25,채은성,LG,0.313,128,451,403,126,20,3,9,81,,,,,,,,2016,hitter,64,179,2,8
26,필,KIA,0.313,132,544,499,156,37,1,20,86,,,,,,,,2016,hitter,71,255,0,7
27,정의윤,SK,0.311,144,616,576,179,32,1,27,100,,,,,,,,2016,hitter,68,294,0,5
28,김재호,두산,0.310,137,496,416,129,27,3,7,78,,,,,,,,2016,hitter,69,183,5,13
29,이범호,KIA,0.310,138,560,484,150,23,0,33,108,,,,,,,,2016,hitter,93,272,0,7
30,정근우,한화,0.310,138,650,575,178,31,2,18,88,,,,,,,,2016,hitter,121,267,1,5
1,김선빈,KIA,0.370,137,529,476,176,34,1,5,64,,,,,,,,2017,hitter,84,227,5,4
2,박건우,두산,0.366,131,543,483,177,40,2,20,78,,,,,,,,2017,hitter,91,281,5,4
3,박민우,NC,0.363,106,452,388,141,25,4,3,47,,,,,,,,2017,hitter,84,183,3,4
4,나성범,NC,0.347,125,561,498,173,42,2,24,99,,,,,,,,2017,hitter,103,291,0,3
5,박용택,LG,0.344,138,596,509,175,23,2,14,90,,,,,,,,2017,hitter,83,244,0,9
6,최형우,KIA,0.342,142,629,514,176,36,3,26,120,,,,,,,,2017,hitter,98,296,0,8
7,김재환,두산,0.340,144,636,544,185,34,2,35,115,,,,,,,,2017,hitter,110,328,0,4
8,로사리오,한화,0.339,119,510,445,151,30,1,37,111,,,,,,,,2017,hitter,100,294,0,5
9,손아섭,롯데,0.335,144,667,576,193,35,4,20,80,,,,,,,,2017,hitter,113,296,1,3
10,서건창,넥센,0.332,139,615,539,179,28,3,6,76,,,,,,,,2017,hitter,87,231,2,6
11,이명기,KIA,0.332,115,512,464,154,24,4,9,63,,,,,,,,2017,hitter,79,213,14,3
12,송광민,한화,0.327,117,473,437,143,26,0,13,75,,,,,,,,2017,hitter,71,208,4,8
13,이정후,넥센,0.324,144,622,552,179,29,8,2,47,,,,,,,,2017,hitter,111,230,2,2
14,전준우,롯데,0.321,110,496,455,146,27,1,18,69,,,,,,,,2017,hitter,76,229,2,2
15,이대호,롯데,0.320,142,608,540,173,13,0,34,111,,,,,,,,2017,hitter,73,288,0,3
16,버나디나,KIA,0.320,139,621,557,178,26,8,27,111,,,,,,,,2017,hitter,118,301,3,9
17,최정,SK,0.316,130,527,430,136,18,1,46,113,,,,,,,,2017,hitter,89,294,0,8
18,안치홍,KIA,0.316,132,545,487,154,29,2,21,93,,,,,,,,2017,hitter,95,250,6,5
19,러프,삼성,0.315,134,591,515,162,38,0,31,124,,,,,,,,2017,hitter,90,293,0,4
20,윤석민,KT,0.312,142,586,538,168,30,1,20,105,,,,,,,,2017,hitter,90,260,0,7
21,모창민,NC,0.312,136,527,474,148,25,3,17,90,,,,,,,,2017,hitter,64,230,3,9
22,고종욱,넥센,0.312,123,453,426,133,24,8,8,54,,,,,,,,2017,hitter,70,197,0,2
23,구자욱,삼성,0.310,144,647,564,175,39,10,21,107,,,,,,,,2017,hitter,108,297,0,10
24,김주찬,KIA,0.309,122,478,440,136,39,2,12,70,,,,,,,,2017,hitter,78,215,2,1
25,오재일,두산,0.306,128,466,412,126,27,0,26,89,,,,,,,,2017,hitter,62,231,1,3
26,유한준,KT,0.306,133,497,445,136,19,0,13,68,,,,,,,,2017,hitter,52,194,2,3
27,민병헌,두산,0.304,123,520,447,136,21,0,14,71,,,,,,,,2017,hitter,73,199,1,6
28,강한울,삼성,0.303,135,448,412,125,9,3,0,24,,,,,,,,2017,hitter,58,140,9,1
29,번즈,롯데,0.303,116,468,423,128,38,0,15,57,,,,,,,,2017,hitter,71,211,2,3
30,김하성,넥센,0.302,141,601,526,159,36,3,23,114,,,,,,,,2017,hitter,90,270,2,7
1,김현수,LG,0.362,117,511,453,164,39,2,20,101,,,,,,,,2018,hitter,95,267,0,10
2,양의지,두산,0.358,133,503,439,157,29,1,23,77,,,,,,,,2018,hitter,84,257,0,6
3,이정후,넥센,0.355,109,520,459,163,34,2,6,57,,,,,,,,2018,hitter,81,219,3,8
4,박병호,넥센,0.345,113,488,400,138,20,0,43,112,,,,,,,,2018,hitter,88,287,0,3
5,안치홍,KIA,0.342,130,549,494,169,38,1,23,118,,,,,,,,2018,hitter,88,278,0,9
6,전준우,롯데,0.342,144,614,556,190,36,2,33,90,,,,,,,,2018,hitter,118,329,1,2
7,김주찬,KIA,0.340,121,471,429,146,23,0,18,93,,,,,,,,2018,hitter,71,223,2,10
8,최형우,KIA,0.339,143,609,528,179,34,1,25,103,,,,,,,,2018,hitter,92,290,0,8
9,유한준,KT,0.339,121,480,428,145,21,1,20,83,,,,,,,,2018,hitter,59,228,2,1
10,김재환,두산,0.334,139,602,527,176,36,1,44,133,,,,,,,,2018,hitter,104,346,0,7
11,최주환,두산,0.333,138,590,519,173,39,6,26,108,,,,,,,,2018,hitter,87,302,0,10
11,이대호,롯데,0.333,144,604,543,181,30,0,37,125,,,,,,,,2018,hitter,81,322,0,4
13,구자욱,삼성,0.333,116,529,478,159,26,5,20,84,,,,,,,,2018,hitter,100,255,1,2
14,채은성,LG,0.331,139,578,529,175,36,2,25,119,,,,,,,,2018,hitter,78,290,0,5
15,러프,삼성,0.330,137,597,506,167,32,4,33,125,,,,,,,,2018,hitter,97,306,0,8
16,이재원,SK,0.329,130,471,407,134,24,0,17,57,,,,,,,,2018,hitter,63,209,4,5
17,손아섭,롯데,0.329,141,625,553,182,32,5,26,93,,,,,,,,2018,hitter,109,302,1,1
18,박건우,두산,0.326,125,529,488,159,24,6,12,84,,,,,,,,2018,hitter,79,231,1,2
19,허경민,두산,0.324,133,577,516,167,30,5,10,79,,,,,,,,2018,hitter,85,237,5,8
20,박민우,NC,0.324,115,460,411,133,22,5,5,33,,,,,,,,2018,hitter,68,180,3,4
21,나성범,NC,0.318,144,620,556,177,36,3,23,91,,,,,,,,2018,hitter,110,288,0,5
22,민병헌,롯데,0.318,118,494,443,141,21,0,17,66,,,,,,,,2018,hitter,74,213,2,6
23,로맥,SK,0.316,141,616,528,167,19,0,43,107,,,,,,,,2018,hitter,102,315,0,6
24,이형종,LG,0.316,118,485,437,138,27,0,13,42,,,,,,,,2018,hitter,83,204,5,0
25,오재원,두산,0.313,132,521,473,148,24,1,15,81,,,,,,,,2018,hitter,78,219,3,2
26,노수광,SK,0.313,135,588,515,161,21,8,8,53,,,,,,,,2018,hitter,93,222,9,3
27,김재호,두산,0.311,131,467,402,125,20,0,16,75,,,,,,,,2018,hitter,78,193,3,6
28,버나디나,KIA,0.310,131,590,513,159,25,3,20,70,,,,,,,,2018,hitter,106,250,3,1
29,호잉,한화,0.306,142,590,529,162,47,2,30,110,,,,,,,,2018,hitter,85,303,0,5
30,로하스,KT,0.305,144,645,564,172,30,1,43,114,,,,,,,,2018,hitter,114,333,1,2
1,양의지,NC,0.354,118,459,390,138,26,0,20,68,,,,,,,,2019,hitter,61,224,0,6
2,페르난데스,두산,0.344,144,645,572,197,34,0,15,88,,,,,,,,2019,hitter,87,276,0,6
3,박민우,NC,0.344,125,526,468,161,23,8,1,45,,,,,,,,2019,hitter,89,203,2,6
4,이정후,키움,0.336,140,630,574,193,31,10,6,68,,,,,,,,2019,hitter,91,262,3,4
5,강백호,KT,0.336,116,505,438,147,29,1,13,65,,,,,,,,2019,hitter,72,217,0,4
6,고종욱,SK,0.323,137,513,492,159,25,7,3,56,,,,,,,,2019,hitter,76,207,0,2
7,로하스,KT,0.322,142,578,521,168,30,3,24,104,,,,,,,,2019,hitter,68,276,0,5
8,박건우,두산,0.319,127,537,458,146,27,5,10,64,,,,,,,,2019,hitter,83,213,1,11
9,유한준,KT,0.317,139,562,501,159,19,1,14,86,,,,,,,,2019,hitter,61,222,0,5
10,채은성,LG,0.315,128,514,470,148,18,1,12,72,,,,,,,,2019,hitter,59,204,0,8
11,이천웅,LG,0.308,138,613,546,168,24,3,2,48,,,,,,,,2019,hitter,88,204,4,1
12,김하성,키움,0.307,139,625,540,166,38,2,19,104,,,,,,,,2019,hitter,112,265,1,7
13,김태균,한화,0.305,127,500,433,132,21,0,6,62,,,,,,,,2019,hitter,47,171,0,8
14,샌즈,키움,0.305,139,613,525,160,39,1,28,113,,,,,,,,2019,hitter,100,285,0,5
15,김현수,LG,0.304,140,595,526,160,37,0,11,82,,,,,,,,2019,hitter,75,230,0,9
16,전준우,롯데,0.301,141,606,545,164,30,1,22,83,,,,,,,,2019,hitter,85,262,1,7
17,서건창,키움,0.300,113,486,426,128,23,3,2,41,,,,,,,,2019,hitter,67,163,3,5
18,최형우,KIA,0.300,136,555,456,137,31,1,17,86,,,,,,,,2019,hitter,65,221,0,7
19,김헌곤,삼성,0.297,114,467,411,122,20,1,5,46,,,,,,,,2019,hitter,57,159,5,6
20,손아섭,롯데,0.295,134,568,512,151,22,1,10,63,,,,,,,,2019,hitter,78,205,1,2
21,이명기,NC,0.293,139,547,484,142,17,3,2,36,,,,,,,,2019,hitter,62,171,7,4
22,오재일,두산,0.293,130,529,467,137,29,1,21,102,,,,,,,,2019,hitter,76,231,0,4
23,러프,삼성,0.292,133,568,472,138,35,2,22,101,,,,,,,,2019,hitter,80,243,0,9
24,최정,SK,0.292,141,606,503,147,27,0,29,99,,,,,,,,2019,hitter,86,261,0,8
25,김선빈,KIA,0.292,121,447,394,115,22,0,3,40,,,,,,,,2019,hitter,55,146,5,4
26,최재훈,한화,0.290,135,451,373,108,18,0,3,31,,,,,,,,2019,hitter,47,135,4,4
27,허경민,두산,0.288,133,540,475,137,25,1,4,60,,,,,,,,2019,hitter,71,176,3,11
28,이형종,LG,0.286,120,482,419,120,24,1,13,63,,,,,,,,2019,hitter,56,185,1,10
29,이대호,롯데,0.285,135,549,485,138,23,1,16,88,,,,,,,,2019,hitter,48,211,0,7
30,호잉,한화,0.284,124,525,476,135,26,2,18,73,,,,,,,,2019,hitter,74,219,1,5
1,최형우,KIA,0.354,140,600,522,185,37,1,28,115,,,,,,,,2020,hitter,93,308,0,3
2,손아섭,롯데,0.352,141,611,540,190,43,0,11,85,,,,,,,,2020,hitter,98,266,1,7
3,로하스,KT,0.349,142,628,550,192,39,1,47,135,,,,,,,,2020,hitter,116,374,0,8
4,박민우,NC,0.345,126,530,467,161,27,5,8,63,,,,,,,,2020,hitter,82,222,2,10
5,페르난데스,두산,0.340,144,668,586,199,29,0,21,105,,,,,,,,2020,hitter,104,291,0,11
6,이정후,키움,0.333,140,617,544,181,49,5,15,101,,,,,,,,2020,hitter,85,285,2,8
7,허경민,두산,0.332,117,487,437,145,25,1,7,58,,,,,,,,2020,hitter,70,193,3,7
8,김현수,LG,0.331,142,619,547,181,35,2,22,119,,,,,,,,2020,hitter,98,286,0,7
9,강백호,KT,0.330,129,574,500,165,36,1,23,89,,,,,,,,2020,hitter,95,272,0,3
10,양의지,NC,0.328,130,528,461,151,26,1,33,124,,,,,,,,2020,hitter,86,278,1,6
11,나성범,NC,0.324,130,584,525,170,37,2,34,112,,,,,,,,2020,hitter,115,313,0,1
12,황재균,KT,0.312,134,600,541,169,35,5,21,97,,,,,,,,2020,hitter,108,277,3,4
13,김동엽,삼성,0.312,115,451,413,129,21,0,20,74,,,,,,,,2020,hitter,60,210,1,4
14,오재일,두산,0.312,127,534,471,147,32,0,16,89,,,,,,,,2020,hitter,62,227,0,2
15,구자욱,삼성,0.307,118,510,446,137,27,2,15,78,,,,,,,,2020,hitter,70,213,1,4
16,최주환,두산,0.306,140,574,509,156,29,4,16,88,,,,,,,,2020,hitter,63,241,1,10
17,터커,KIA,0.306,142,631,542,166,40,0,32,113,,,,,,,,2020,hitter,100,302,0,4
18,박석민,NC,0.306,123,448,356,109,15,0,14,63,,,,,,,,2020,hitter,58,166,2,4
19,이명기,NC,0.306,136,540,477,146,18,3,2,45,,,,,,,,2020,hitter,82,176,5,4
20,김하성,키움,0.306,138,622,533,163,24,1,30,109,,,,,,,,2020,hitter,111,279,3,3
21,김상수,삼성,0.304,120,471,404,123,18,3,5,47,,,,,,,,2020,hitter,71,162,2,2
22,박건우,두산,0.304,129,551,487,148,40,0,14,70,,,,,,,,2020,hitter,103,230,3,7
23,오지환,LG,0.300,141,591,527,158,41,7,10,71,,,,,,,,2020,hitter,95,243,5,5
24,정수빈,두산,0.298,141,559,490,146,17,8,5,59,,,,,,,,2020,hitter,84,194,7,5
25,조용호,KT,0.296,132,482,409,121,15,0,0,32,,,,,,,,2020,hitter,73,136,5,2
26,정훈,롯데,0.295,111,476,410,121,19,1,11,58,,,,,,,,2020,hitter,72,175,2,4
27,채은성,LG,0.293,109,464,416,122,17,2,15,88,,,,,,,,2020,hitter,59,188,0,7
28,이대호,롯데,0.292,144,611,542,158,27,0,20,110,,,,,,,,2020,hitter,67,245,0,11
29,나지완,KIA,0.291,137,556,468,136,19,1,17,92,,,,,,,,2020,hitter,73,208,0,6
30,박해민,삼성,0.290,132,541,489,142,18,5,11,55,,,,,,,,2020,hitter,84,203,7,3
1,이정후,키움,0.360,123,544,464,167,42,6,7,84,,,,,,,,2021,hitter,78,242,0,9
2,전준우,롯데,0.348,144,619,552,192,46,0,7,92,,,,,,,,2021,hitter,88,259,1,8
3,강백호,KT,0.347,142,627,516,179,40,1,16,102,,,,,,,,2021,hitter,76,269,0,8
4,홍창기,LG,0.328,144,651,524,172,26,2,4,52,,,,,,,,2021,hitter,103,214,0,2
5,박건우,두산,0.325,126,525,458,149,31,2,6,63,,,,,,,,2021,hitter,82,202,0,6
6,양의지,NC,0.325,141,570,480,156,29,2,30,111,,,,,,,,2021,hitter,81,279,0,10
7,손아섭,롯데,0.319,139,610,542,173,29,2,3,58,,,,,,,,2021,hitter,88,215,3,1
8,페르난데스,두산,0.315,141,617,540,170,24,0,15,81,,,,,,,,2021,hitter,73,239,0,6
9,김선빈,KIA,0.307,130,564,501,154,32,0,5,67,,,,,,,,2021,hitter,55,201,1,5
10,안치홍,롯데,0.306,119,490,421,129,30,2,10,82,,,,,,,,2021,hitter,58,193,5,9
11,구자욱,삼성,0.306,139,610,543,166,30,10,22,88,,,,,,,,2021,hitter,107,282,1,12
12,김혜성,키움,0.304,144,635,559,170,20,3,3,66,,,,,,,,2021,hitter,99,205,0,10
13,박성한,SSG,0.302,135,471,407,123,21,1,4,44,,,,,,,,2021,hitter,53,158,12,2
14,이용규,키움,0.296,133,547,459,136,16,8,1,43,,,,,,,,2021,hitter,88,171,6,6
15,최원준,KIA,0.295,143,668,589,174,21,6,4,44,,,,,,,,2021,hitter,82,219,4,3
16,정훈,롯데,0.292,135,561,486,142,27,1,14,79,,,,,,,,2021,hitter,70,213,1,3
17,황재균,KT,0.291,117,507,453,132,16,2,10,56,,,,,,,,2021,hitter,74,182,1,4
18,박해민,삼성,0.291,127,542,454,132,22,1,5,54,,,,,,,,2021,hitter,78,171,9,7
19,강민호,삼성,0.291,123,462,406,118,22,0,18,67,,,,,,,,2021,hitter,55,194,0,7
20,이대호,롯데,0.286,114,465,420,120,11,0,19,81,,,,,,,,2021,hitter,39,188,0,6
20,피렐라,삼성,0.286,140,621,553,158,25,2,29,97,,,,,,,,2021,hitter,102,274,0,3
22,오재일,삼성,0.285,120,484,418,119,20,0,25,97,,,,,,,,2021,hitter,64,214,0,8
23,김현수,LG,0.285,140,595,506,144,23,1,17,96,,,,,,,,2021,hitter,70,220,0,9
24,정은원,한화,0.283,139,608,495,140,22,5,6,39,,,,,,,,2021,hitter,85,190,4,3
25,나성범,NC,0.281,144,623,570,160,29,1,33,101,,,,,,,,2021,hitter,96,290,0,4
26,마차도,롯데,0.279,134,539,466,130,21,1,5,58,,,,,,,,2021,hitter,83,168,4,7
27,한유섬,SSG,0.278,135,519,442,123,18,1,31,95,,,,,,,,2021,hitter,71,236,1,6
28,허경민,두산,0.278,136,518,468,130,24,1,5,59,,,,,,,,2021,hitter,61,171,3,3
29,최정,SSG,0.278,134,555,436,121,17,1,35,100,,,,,,,,2021,hitter,92,245,1,12
30,채은성,LG,0.276,110,448,387,107,20,0,16,82,,,,,,,,2021,hitter,59,175,0,7
1,이정후,키움,0.349,142,627,553,193,36,10,23,113,,,,,,,,2022,hitter,85,318,0,3
2,피렐라,삼성,0.342,141,630,561,192,33,4,28,109,,,,,,,,2022,hitter,102,317,0,2
3,박건우,NC,0.336,111,463,408,137,18,1,10,61,,,,,,,,2022,hitter,52,187,0,3
4,이대호,롯데,0.331,142,591,540,179,23,0,23,101,,,,,,,,2022,hitter,53,271,0,6
5,나성범,KIA,0.320,144,649,563,180,39,2,21,97,,,,,,,,2022,hitter,92,286,0,5
6,김혜성,키움,0.318,129,566,516,164,18,7,4,48,,,,,,,,2022,hitter,81,208,0,3
7,문보경,LG,0.315,126,466,406,128,22,3,9,56,,,,,,,,2022,hitter,52,183,5,7
8,소크라테스,KIA,0.311,127,554,514,160,29,7,17,77,,,,,,,,2022,hitter,83,254,0,4
9,페르난데스,두산,0.309,139,550,508,157,28,0,6,77,,,,,,,,2022,hitter,52,203,0,5
10,조용호,KT,0.308,131,531,474,146,18,4,3,44,,,,,,,,2022,hitter,52,181,2,3
11,한동희,롯데,0.307,129,499,456,140,27,0,14,65,,,,,,,,2022,hitter,43,209,0,4
12,전준우,롯데,0.304,120,517,470,143,31,1,11,68,,,,,,,,2022,hitter,73,209,0,9
13,최지훈,SSG,0.304,144,640,569,173,32,4,10,61,,,,,,,,2022,hitter,93,243,13,4
14,박성한,SSG,0.298,140,564,494,147,24,4,2,56,,,,,,,,2022,hitter,68,185,6,2
15,마티니,NC,0.296,139,576,510,151,34,1,16,85,,,,,,,,2022,hitter,67,235,0,7
16,채은성,LG,0.296,126,526,467,138,26,2,12,83,,,,,,,,2022,hitter,48,204,0,11
17,박해민,LG,0.289,144,636,570,165,20,8,3,49,,,,,,,,2022,hitter,97,210,7,6
18,허경민,두산,0.289,121,493,432,125,23,0,8,60,,,,,,,,2022,hitter,59,172,2,7
19,터크먼,한화,0.289,144,648,575,166,37,4,12,43,,,,,,,,2022,hitter,88,247,0,2
20,김선빈,KIA,0.287,140,587,505,145,23,0,3,61,,,,,,,,2022,hitter,51,177,7,3
21,김현수,LG,0.286,141,604,524,150,25,2,23,106,,,,,,,,2022,hitter,78,248,0,3
22,홍창기,LG,0.286,118,525,437,125,19,4,1,51,,,,,,,,2022,hitter,76,155,5,5
23,안치홍,롯데,0.284,132,562,493,140,27,3,14,58,,,,,,,,2022,hitter,71,215,8,5
