순위,선수명,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,Season,Category,WHIP
1,박철순,OB,1.84,36,15,2,24,4,7,0,0.857,871,224 2/3,151,7,67,6,108,60,46,1982,pitcher,
2,하기룡,MBC,2.30,43,7,4,13,10,9,0,0.565,781,191 2/3,160,10,53,13,108,68,49,1982,pitcher,
3,권영호,삼성,2.37,32,6,3,15,5,2,0,0.750,711,178 2/3,139,18,52,7,72,57,47,1982,pitcher,
4,황규봉,삼성,2.47,48,8,2,15,11,11,0,0.577,864,222 1/3,189,11,34,6,99,78,61,1982,pitcher,
5,김성한,해태,2.79,26,3,1,10,5,1,0,0.667,438,106 1/3,88,6,45,6,49,44,33,1982,pitcher,
6,성낙수,삼성,2.81,28,5,0,8,3,2,0,0.727,500,125,119,15,23,6,56,44,39,1982,pitcher,
7,이선희,삼성,2.91,38,4,3,15,7,1,0,0.682,698,167,152,11,73,9,73,67,54,1982,pitcher,
8,노상수,롯데,2.94,44,12,2,14,19,2,0,0.424,954,232 1/3,216,18,59,10,141,97,76,1982,pitcher,
9,김용남,해태,3.09,33,8,1,9,12,0,0,0.429,740,175,177,12,42,9,85,83,60,1982,pitcher,
10,유종겸,MBC,3.25,32,3,1,6,5,3,0,0.545,476,113 2/3,95,11,53,1,86,48,41,1982,pitcher,
11,선우대영,OB,3.39,27,6,1,7,6,0,0,0.538,566,138,139,8,31,4,65,64,52,1982,pitcher,
12,이길환,MBC,3.61,27,5,2,7,7,0,0,0.500,493,117 1/3,114,8,34,9,54,59,47,1982,pitcher,
13,이광권,MBC,3.72,31,2,1,7,4,2,0,0.636,489,116,105,8,46,11,57,62,48,1982,pitcher,
14,천창호,롯데,3.83,37,8,1,7,13,0,0,0.350,724,173 2/3,173,18,52,7,92,85,74,1982,pitcher,
15,방수원,해태,3.85,34,2,0,6,7,1,0,0.462,664,154 1/3,164,10,48,8,63,84,66,1982,pitcher,
16,황태환,OB,3.86,27,2,0,6,5,3,0,0.545,365,86 1/3,76,12,37,11,42,43,37,1982,pitcher,
17,이상윤,해태,3.88,23,5,0,7,5,0,0,0.583,442,102,87,8,63,1,58,51,44,1982,pitcher,
18,김문희,롯데,4.12,24,4,1,4,8,0,0,0.333,411,91 2/3,113,10,31,4,18,55,42,1982,pitcher,
19,박상열,OB,4.22,25,3,0,10,5,0,0,0.667,480,111,120,7,34,9,35,70,52,1982,pitcher,
20,강만식,해태,4.44,29,6,0,5,11,1,0,0.313,642,144,152,11,69,10,86,93,71,1982,pitcher,
21,정순명,MBC,4.47,25,1,0,7,5,1,0,0.583,416,92 2/3,105,9,38,8,47,62,46,1982,pitcher,
22,오문현,삼미,4.85,22,1,0,2,10,0,0,0.167,459,102,115,11,34,14,22,69,55,1982,pitcher,
23,계형철,OB,4.88,21,3,1,4,4,0,0,0.500,416,90 1/3,73,6,76,2,43,59,49,1982,pitcher,
24,이진우,롯데,5.27,22,1,0,5,2,1,0,0.714,373,82,90,10,51,5,49,56,48,1982,pitcher,
25,김재현,삼미,6.13,47,2,0,6,19,1,0,0.240,890,192 1/3,268,18,63,7,62,154,131,1982,pitcher,
26,감사용,삼미,6.46,41,1,0,1,14,1,0,0.067,615,133 2/3,179,25,46,2,23,106,96,1982,pitcher,
27,인호봉,삼미,6.56,38,3,0,5,10,2,0,0.333,636,133,149,19,96,19,41,129,97,1982,pitcher,
28,김동철,삼미,7.06,32,0,0,1,9,1,0,0.100,441,93,125,15,52,6,19,84,73,1982,pitcher,
1,하기룡,MBC,2.34,36,6,2,10,11,4,0,0.476,696,173 1/3,137,4,48,8,73,57,45,1983,pitcher,
2,장명부,삼미,2.36,60,36,6,30,16,6,0,0.652,1712,427 1/3,388,19,106,16,220,138,112,1983,pitcher,
3,유종겸,MBC,2.40,34,4,0,8,7,5,0,0.533,560,139,103,8,50,5,74,45,37,1983,pitcher,
4,박상열,OB,2.49,30,7,1,10,9,0,0,0.526,716,173 1/3,162,11,44,14,68,57,48,1983,pitcher,
5,이길환,MBC,2.51,33,10,4,15,7,4,0,0.682,845,208 1/3,184,8,56,11,85,68,58,1983,pitcher,
6,이광권,MBC,2.51,22,3,0,7,5,0,0,0.583,411,100 1/3,96,7,31,4,35,37,28,1983,pitcher,
7,김시진,삼성,2.55,37,17,5,17,12,1,0,0.586,950,229 1/3,189,8,95,14,154,78,65,1983,pitcher,
8,황태환,OB,2.65,39,0,0,6,6,14,0,0.500,449,105 1/3,105,11,40,5,60,46,31,1983,pitcher,
9,이상윤,해태,2.67,46,14,3,20,10,6,0,0.667,944,229 1/3,181,10,95,4,178,83,68,1983,pitcher,
10,김용남,해태,2.83,36,6,3,13,10,1,0,0.565,731,181 1/3,171,12,30,5,80,67,57,1983,pitcher,
11,최동원,롯데,2.89,38,16,1,9,16,4,0,0.360,863,208 2/3,202,17,51,8,148,89,67,1983,pitcher,
12,오영일,MBC,2.91,36,7,0,10,9,4,0,0.526,704,173,147,8,59,8,69,62,56,1983,pitcher,
13,임호균,삼미,3.03,35,15,1,12,15,2,0,0.444,954,234 2/3,231,16,52,6,86,94,79,1983,pitcher,
14,주동식,해태,3.14,30,3,2,7,7,3,0,0.500,599,143 1/3,133,14,38,9,56,60,50,1983,pitcher,
15,배경환,롯데,3.18,37,4,2,7,4,0,0,0.636,637,150,159,9,32,5,62,72,53,1983,pitcher,
16,권영호,삼성,3.20,32,5,0,6,10,7,0,0.375,556,135,113,7,48,6,49,58,48,1983,pitcher,
17,양일환,삼성,3.22,32,4,0,9,7,1,0,0.563,738,176 1/3,155,12,63,11,62,82,63,1983,pitcher,
18,계형철,OB,3.44,29,9,3,9,12,0,0,0.429,816,193 1/3,190,11,72,13,86,97,74,1983,pitcher,
19,김문희,롯데,3.48,34,5,0,8,10,0,0,0.444,649,155 1/3,154,12,53,3,46,70,60,1983,pitcher,
20,황규봉,삼성,3.67,30,5,1,6,4,3,0,0.600,548,130,136,10,36,10,45,66,53,1983,pitcher,
21,이선희,삼성,3.76,29,3,1,5,13,0,0,0.278,548,127,122,17,59,7,57,66,53,1983,pitcher,
22,노상수,롯데,4.14,42,4,1,8,11,3,0,0.421,733,169 2/3,179,17,52,12,69,94,78,1983,pitcher,
