순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,Season,Category
1,손아섭,롯데,우익수,143,142,1189,3,0,247,6,1,0.988,0,0,0,-,2016,defense
3,허경민,두산,3루수,142,140,1206 1/3,7,0,101,220,27,0.979,0,0,0,-,2016,defense
3,나성범,NC,우익수,142,139,1206 1/3,8,0,243,4,1,0.969,0,0,0,-,2016,defense
5,최정,SK,3루수,140,136,1181 1/3,14,0,89,291,32,0.964,0,0,0,-,2016,defense
6,정근우,한화,2루수,138,137,1170 2/3,16,0,337,406,105,0.979,0,0,0,-,2016,defense
7,김재호,두산,유격수,137,129,1065,10,0,209,407,90,0.984,0,0,0,-,2016,defense
8,최형우,삼성,좌익수,134,134,1094,3,0,221,4,1,0.987,0,0,0,-,2016,defense
8,김태군,NC,포수,134,121,935 2/3,0,2,859,76,8,1.000,3,57,31,35.2,2016,defense
10,서건창,넥센,2루수,133,133,1125 1/3,15,0,328,349,82,0.978,0,0,0,-,2016,defense
10,히메네스,LG,3루수,133,129,1123 1/3,17,0,109,262,28,0.956,0,0,0,-,2016,defense
12,백상원,삼성,2루수,130,129,1060 2/3,8,0,236,298,81,0.985,0,0,0,-,2016,defense
12,이범호,KIA,3루수,130,128,1038 2/3,11,0,70,215,30,0.963,0,0,0,-,2016,defense
14,김민성,넥센,3루수,128,123,1060,7,0,130,229,19,0.981,0,0,0,-,2016,defense
15,박동원,넥센,포수,126,122,991 1/3,7,1,743,89,8,0.992,8,60,41,40.6,2016,defense
16,김문호,롯데,좌익수,125,117,1005,5,0,201,2,0,0.976,0,0,0,-,2016,defense
17,이지영,삼성,포수,124,101,867,10,1,682,65,13,0.987,5,77,35,31.3,2016,defense
17,황재균,롯데,3루수,124,122,1055 2/3,15,0,85,271,33,0.960,0,0,0,-,2016,defense
19,필,KIA,1루수,123,121,997 2/3,13,0,918,69,94,0.987,0,0,0,-,2016,defense
20,김호령,KIA,중견수,122,112,1009 2/3,3,0,310,10,5,0.991,0,0,0,-,2016,defense
21,오재원,두산,2루수,120,111,941 2/3,16,0,211,313,76,0.970,0,0,0,-,2016,defense
22,박해민,삼성,중견수,119,107,942,2,0,316,6,1,0.994,0,0,0,-,2016,defense
22,오지환,LG,유격수,119,112,990,17,0,181,365,74,0.970,0,0,0,-,2016,defense
24,박정권,SK,1루수,118,107,918,6,0,947,91,91,0.994,0,0,0,-,2016,defense
25,이대형,KT,중견수,117,107,896,1,0,212,7,1,0.995,0,0,0,-,2016,defense
26,박민우,NC,2루수,116,113,897 1/3,14,0,224,278,65,0.973,0,0,0,-,2016,defense
26,이재원,SK,포수,116,111,896 1/3,8,2,689,69,6,0.990,2,78,41,34.5,2016,defense
26,차일목,한화,포수,116,90,708 1/3,6,2,582,57,6,0.991,6,76,31,29.0,2016,defense
29,박석민,NC,3루수,114,111,891,15,0,54,153,11,0.932,0,0,0,-,2016,defense
29,테임즈,NC,1루수,114,111,905,4,0,803,52,88,0.995,0,0,0,-,2016,defense
1,구자욱,삼성,우익수,144,144,1242 1/3,5,0,278,13,4,0.983,0,0,0,-,2017,defense
2,손아섭,롯데,우익수,139,139,1210 1/3,2,0,250,11,2,0.992,0,0,0,-,2017,defense
2,박해민,삼성,중견수,139,130,1151 2/3,1,0,323,7,2,0.997,0,0,0,-,2017,defense
4,김하성,넥센,유격수,138,133,1163,18,0,207,422,71,0.972,0,0,0,-,2017,defense
5,김민식,KIA,포수,136,112,931 1/3,8,2,739,72,11,0.990,12,46,28,37.8,2017,defense
6,권희동,NC,좌익수,134,131,1036 1/3,2,0,220,6,1,0.991,0,0,0,-,2017,defense
6,김선빈,KIA,유격수,134,122,1056,14,0,169,346,80,0.974,0,0,0,-,2017,defense
8,김재환,두산,좌익수,132,131,1093,8,0,232,5,0,0.967,0,0,0,-,2017,defense
8,김태군,NC,포수,132,122,957 1/3,9,3,860,62,11,0.990,1,50,29,36.7,2017,defense
10,안치홍,KIA,2루수,131,126,1082 1/3,13,0,291,359,98,0.980,0,0,0,-,2017,defense
11,허경민,두산,3루수,130,104,952 1/3,5,0,100,202,18,0.984,0,0,0,-,2017,defense
12,강민호,롯데,포수,129,120,1032 2/3,11,4,904,77,15,0.989,9,71,31,30.4,2017,defense
13,김성현,SK,2루수,128,106,959 1/3,6,0,229,340,77,0.990,0,0,0,-,2017,defense
14,김민성,넥센,3루수,125,119,1028,6,0,110,242,32,0.983,0,0,0,-,2017,defense
15,버나디나,KIA,중견수,124,119,927 1/3,0,0,238,9,0,1.000,0,0,0,-,2017,defense
16,나성범,NC,우익수,123,123,1051 2/3,8,0,242,9,2,0.969,0,0,0,-,2017,defense
16,손시헌,NC,유격수,123,107,849 2/3,10,0,154,301,62,0.978,0,0,0,-,2017,defense
18,서건창,넥센,2루수,122,120,1008 2/3,12,0,254,329,73,0.980,0,0,0,-,2017,defense
18,박경수,KT,2루수,122,119,950,6,0,243,312,78,0.989,0,0,0,-,2017,defense
20,박건우,두산,중견수,120,116,988 1/3,4,0,227,4,1,0.983,0,0,0,-,2017,defense
20,김문호,롯데,좌익수,120,93,883 1/3,3,0,179,2,0,0.984,0,0,0,-,2017,defense
22,유강남,LG,포수,117,96,831 1/3,4,2,733,43,5,0.995,5,36,14,28.0,2017,defense
22,최정,SK,3루수,117,116,936 2/3,6,0,77,213,20,0.980,0,0,0,-,2017,defense
24,이대호,롯데,1루수,116,114,935 2/3,8,0,898,59,92,0.992,0,0,0,-,2017,defense
25,최형우,KIA,좌익수,115,114,916 2/3,4,0,196,7,0,0.981,0,0,0,-,2017,defense
26,오재원,두산,2루수,113,82,766 2/3,6,0,204,214,63,0.986,0,0,0,-,2017,defense
27,이범호,KIA,3루수,111,105,867 2/3,13,0,57,179,24,0.948,0,0,0,-,2017,defense
27,이원석,삼성,3루수,111,107,910 1/3,12,0,69,191,23,0.956,0,0,0,-,2017,defense
29,채은성,LG,우익수,110,80,772 2/3,3,0,192,6,0,0.985,0,0,0,-,2017,defense
29,번즈,롯데,2루수,110,103,916 1/3,8,0,225,307,72,0.985,0,0,0,-,2017,defense
1,오지환,LG,유격수,143,142,1198 2/3,24,0,211,409,74,0.963,0,0,0,-,2018,defense
2,나성범,NC,우익수,142,142,1220,3,0,288,9,2,0.990,0,0,0,-,2018,defense
3,하주석,한화,유격수,141,132,1142 2/3,18,0,194,348,80,0.968,0,0,0,-,2018,defense
3,박해민,삼성,중견수,141,134,1198 2/3,2,0,344,4,1,0.994,0,0,0,-,2018,defense
5,채은성,LG,우익수,135,134,1147 2/3,3,0,264,8,1,0.989,0,0,0,-,2018,defense
6,이용규,한화,중견수,133,128,1069 2/3,6,0,260,5,2,0.978,0,0,0,-,2018,defense
7,허경민,두산,3루수,132,121,1046,7,0,87,226,29,0.978,0,0,0,-,2018,defense
7,번즈,롯데,2루수,132,127,1073,22,0,260,360,81,0.966,0,0,0,-,2018,defense
7,로맥,SK,1루수,132,124,1078 2/3,8,0,1026,68,90,0.993,0,0,0,-,2018,defense
7,로하스,KT,중견수,132,130,1127 2/3,3,0,258,7,0,0.989,0,0,0,-,2018,defense
11,호잉,한화,우익수,130,129,1098 2/3,3,0,240,9,1,0.988,0,0,0,-,2018,defense
11,김헌곤,삼성,좌익수,130,115,1039 1/3,0,0,232,14,5,1.000,0,0,0,-,2018,defense
13,버나디나,KIA,중견수,129,124,1026 2/3,3,0,250,5,1,0.988,0,0,0,-,2018,defense
13,김재호,두산,유격수,129,114,939,12,0,154,285,66,0.973,0,0,0,-,2018,defense
15,손아섭,롯데,우익수,127,125,1068 2/3,4,0,245,5,2,0.984,0,0,0,-,2018,defense
15,박경수,KT,2루수,127,122,1016,14,0,283,381,111,0.979,0,0,0,-,2018,defense
17,김선빈,KIA,유격수,126,115,962,12,0,163,293,62,0.974,0,0,0,-,2018,defense
17,유강남,LG,포수,126,109,952,7,0,783,53,9,0.992,6,78,26,25.0,2018,defense
17,김하성,넥센,유격수,126,124,1071 2/3,13,0,206,396,69,0.979,0,0,0,-,2018,defense
17,임병욱,넥센,중견수,126,97,911 2/3,5,0,227,2,0,0.979,0,0,0,-,2018,defense
17,최재훈,한화,포수,126,95,830 2/3,5,0,747,48,14,0.994,7,52,25,32.5,2018,defense
22,황재균,KT,3루수,125,123,1040 1/3,17,0,68,221,32,0.944,0,0,0,-,2018,defense
23,오재원,두산,2루수,122,116,966,16,0,236,305,81,0.971,0,0,0,-,2018,defense
23,장성우,KT,포수,122,107,894 2/3,9,0,744,50,5,0.989,17,64,21,24.7,2018,defense
25,김민식,KIA,포수,121,100,844,4,1,708,51,6,0.995,6,71,19,21.1,2018,defense
26,김상수,삼성,유격수,120,120,989,16,0,164,288,68,0.966,0,0,0,-,2018,defense
26,윤석민,KT,1루수,120,115,954 1/3,7,0,881,54,108,0.993,0,0,0,-,2018,defense
28,이재원,SK,포수,119,109,846 2/3,11,2,774,48,6,0.987,5,72,18,20.0,2018,defense
28,이원석,삼성,3루수,119,117,965 2/3,9,0,87,173,13,0.967,0,0,0,-,2018,defense
30,양의지,두산,포수,118,108,861 2/3,3,0,703,52,8,0.996,5,46,28,37.8,2018,defense
1,김성현,SK,유격수,144,132,1143 2/3,26,0,179,358,83,0.954,0,0,0,-,2019,defense
2,정은원,한화,2루수,142,137,1192 2/3,13,0,299,421,115,0.982,0,0,0,-,2019,defense
3,박해민,삼성,중견수,140,129,1147,2,0,385,7,3,0.995,0,0,0,-,2019,defense
4,이재원,SK,포수,136,121,1041,6,0,889,58,4,0.994,3,84,19,18.4,2019,defense
5,박세혁,두산,포수,135,128,1071 2/3,8,0,786,55,5,0.991,4,85,23,21.3,2019,defense
6,최정,SK,3루수,134,133,1153,14,0,93,211,21,0.956,0,0,0,-,2019,defense
6,전준우,롯데,좌익수,134,133,1148,4,0,233,7,2,0.984,0,0,0,-,2019,defense
6,오지환,LG,유격수,134,131,1101,12,0,214,402,100,0.981,0,0,0,-,2019,defense
9,최재훈,한화,포수,133,126,1022 2/3,6,3,788,76,17,0.993,8,84,31,27.0,2019,defense
10,허경민,두산,3루수,132,124,1080,8,0,86,193,18,0.972,0,0,0,-,2019,defense
11,로맥,SK,1루수,130,127,1113 1/3,3,0,1022,49,103,0.997,0,0,0,-,2019,defense
11,김재호,두산,유격수,130,116,993 1/3,10,0,158,339,67,0.980,0,0,0,-,2019,defense
13,손아섭,롯데,우익수,129,125,1066 2/3,4,0,251,6,2,0.985,0,0,0,-,2019,defense
14,유강남,LG,포수,128,115,968 1/3,7,0,757,61,9,0.992,5,84,25,22.9,2019,defense
14,정주현,LG,2루수,128,124,972,13,0,209,307,77,0.975,0,0,0,-,2019,defense
16,오재일,두산,1루수,126,119,1044,4,0,1031,76,100,0.996,0,0,0,-,2019,defense
16,이창진,KIA,중견수,126,110,963 1/3,4,0,278,6,1,0.986,0,0,0,-,2019,defense
16,박경수,KT,2루수,126,121,983 2/3,9,0,222,349,81,0.984,0,0,0,-,2019,defense
19,장성우,KT,포수,125,107,911 2/3,5,0,626,54,4,0.993,10,60,24,28.6,2019,defense
20,김재환,두산,좌익수,124,124,1010,0,0,228,5,1,1.000,0,0,0,-,2019,defense
20,이천웅,LG,중견수,124,121,1039 2/3,1,0,264,6,3,0.996,0,0,0,-,2019,defense
20,심우준,KT,유격수,124,113,976 1/3,9,0,213,290,77,0.982,0,0,0,-,2019,defense
23,김강민,SK,중견수,123,100,947 1/3,3,0,264,9,2,0.989,0,0,0,-,2019,defense
24,박건우,두산,우익수,122,113,947 1/3,3,0,233,2,1,0.987,0,0,0,-,2019,defense
25,정수빈,두산,중견수,121,114,1012 2/3,3,0,302,4,1,0.990,0,0,0,-,2019,defense
25,김상수,삼성,2루수,121,117,993,10,0,235,328,75,0.983,0,0,0,-,2019,defense
27,송광민,한화,3루수,120,115,974,16,0,79,218,33,0.949,0,0,0,-,2019,defense
27,오선진,한화,유격수,120,113,954 2/3,12,0,160,303,69,0.975,0,0,0,-,2019,defense
29,신본기,롯데,유격수,118,108,906 2/3,15,0,161,272,56,0.967,0,0,0,-,2019,defense
30,임병욱,키움,중견수,117,101,904 2/3,4,0,248,9,2,0.985,0,0,0,-,2019,defense
1,심우준,KT,유격수,144,133,1157,21,0,231,427,94,0.969,0,0,0,-,2020,defense
1,마차도,롯데,유격수,144,139,1180 2/3,10,0,228,380,88,0.984,0,0,0,-,2020,defense
3,배정대,KT,중견수,143,141,1221 1/3,5,0,354,13,2,0.987,0,0,0,-,2020,defense
4,정수빈,두산,중견수,141,133,1162 2/3,1,0,328,7,3,0.997,0,0,0,-,2020,defense
4,오지환,LG,유격수,141,136,1142,15,0,184,405,100,0.975,0,0,0,-,2020,defense
4,박찬호,KIA,유격수,141,137,1165,15,0,198,385,101,0.975,0,0,0,-,2020,defense
7,전준우,롯데,좌익수,139,136,1154 2/3,5,0,274,9,0,0.983,0,0,0,-,2020,defense
8,유강남,LG,포수,134,123,1009 2/3,2,0,795,52,8,0.998,7,64,22,25.6,2020,defense
8,터커,KIA,우익수,134,133,1108,1,0,222,4,1,0.996,0,0,0,-,2020,defense
10,황재균,KT,3루수,132,128,1113 2/3,13,0,106,213,31,0.961,0,0,0,-,2020,defense
11,알테어,NC,중견수,131,129,1094 2/3,2,0,326,3,1,0.994,0,0,0,-,2020,defense
11,나지완,KIA,좌익수,131,130,1019 1/3,1,0,206,3,1,0.995,0,0,0,-,2020,defense
13,김재환,두산,좌익수,127,127,1014 2/3,2,0,247,5,1,0.992,0,0,0,-,2020,defense
13,정주현,LG,2루수,127,111,896,10,0,211,321,90,0.982,0,0,0,-,2020,defense
13,강백호,KT,1루수,127,121,1064,10,0,1056,75,111,0.991,0,0,0,-,2020,defense
16,장성우,KT,포수,126,114,952,3,0,665,34,6,0.996,6,54,14,20.6,2020,defense
16,박해민,삼성,중견수,126,121,1019 1/3,0,0,340,5,2,1.000,0,0,0,-,2020,defense
16,손아섭,롯데,우익수,126,123,1056 2/3,1,0,234,4,1,0.996,0,0,0,-,2020,defense
19,노진혁,NC,유격수,125,115,955 2/3,8,0,174,274,56,0.982,0,0,0,-,2020,defense
19,김준태,롯데,포수,125,84,793,7,0,615,54,5,0.990,4,64,12,15.8,2020,defense
21,로맥,SK,1루수,124,121,1035 2/3,10,0,947,48,111,0.990,0,0,0,-,2020,defense
21,한동희,롯데,3루수,124,119,973,16,0,58,206,11,0.943,0,0,0,-,2020,defense
23,박민우,NC,2루수,123,116,943 2/3,10,0,250,278,71,0.981,0,0,0,-,2020,defense
24,최정,SK,3루수,122,118,987 2/3,11,0,76,170,22,0.957,0,0,0,-,2020,defense
25,박건우,두산,우익수,121,114,902,2,0,214,7,4,0.991,0,0,0,-,2020,defense
26,김재호,두산,유격수,120,113,961 2/3,13,0,137,289,59,0.970,0,0,0,-,2020,defense
27,유민상,KIA,1루수,119,108,932 2/3,9,0,830,51,108,0.990,0,0,0,-,2020,defense
27,최재훈,한화,포수,119,103,857 2/3,5,1,727,48,12,0.994,4,79,27,25.5,2020,defense
29,박세혁,두산,포수,118,106,880 2/3,8,1,752,38,5,0.990,2,59,14,19.2,2020,defense
30,오재일,두산,1루수,115,110,927 1/3,3,0,833,36,75,0.997,0,0,0,-,2020,defense
1,배정대,KT,중견수,144,139,1189 1/3,3,0,308,7,1,0.991,0,0,0,-,2021,defense
2,최원준,KIA,우익수,140,133,1163 1/3,7,0,291,10,2,0.977,0,0,0,-,2021,defense
3,심우준,KT,유격수,138,129,1065,19,0,210,327,78,0.966,0,0,0,-,2021,defense
4,알테어,NC,중견수,134,129,1078 2/3,2,0,319,4,2,0.994,0,0,0,-,2021,defense
4,손아섭,롯데,우익수,134,131,1118,5,0,222,5,0,0.978,0,0,0,-,2021,defense
6,강백호,KT,1루수,133,128,1068,19,0,1024,105,98,0.983,0,0,0,-,2021,defense
6,마차도,롯데,유격수,133,127,1076 2/3,11,0,235,337,78,0.981,0,0,0,-,2021,defense
8,오지환,LG,유격수,132,129,1060 2/3,13,0,175,359,90,0.976,0,0,0,-,2021,defense
9,나성범,NC,우익수,131,130,1071 2/3,5,0,231,5,1,0.979,0,0,0,-,2021,defense
9,서건창,LG,2루수,131,127,1038 1/3,8,0,253,307,82,0.986,0,0,0,-,2021,defense
11,허경민,두산,3루수,130,116,984 2/3,8,0,92,161,21,0.969,0,0,0,-,2021,defense
11,구자욱,삼성,우익수,130,130,1085,3,0,247,9,3,0.988,0,0,0,-,2021,defense
11,김상수,삼성,2루수,130,125,1039,12,0,241,359,84,0.980,0,0,0,-,2021,defense
14,유강남,LG,포수,129,117,961,3,1,829,66,7,0.997,9,77,23,23.0,2021,defense
14,박성한,SSG,유격수,129,111,993 2/3,23,0,194,313,75,0.957,0,0,0,-,2021,defense
16,박찬호,KIA,유격수,128,125,1100 1/3,24,0,204,321,74,0.956,0,0,0,-,2021,defense
16,최정,SSG,3루수,128,123,1029,12,0,83,209,24,0.961,0,0,0,-,2021,defense
18,양석환,두산,1루수,127,125,1014 1/3,8,0,854,57,92,0.991,0,0,0,-,2021,defense
19,김재환,두산,좌익수,126,125,948,4,0,199,4,0,0.981,0,0,0,-,2021,defense
20,김선빈,KIA,2루수,125,125,1015 2/3,7,0,206,305,86,0.986,0,0,0,-,2021,defense
20,박해민,삼성,중견수,125,119,989 2/3,1,0,280,2,1,0.996,0,0,0,-,2021,defense
20,정은원,한화,2루수,125,122,1015 2/3,13,0,219,279,70,0.975,0,0,0,-,2021,defense
23,한동희,롯데,3루수,124,116,992 1/3,14,0,89,195,22,0.953,0,0,0,-,2021,defense
24,강진성,NC,1루수,120,115,970 1/3,13,0,839,56,67,0.986,0,0,0,-,2021,defense
25,강민호,삼성,포수,119,110,934,7,0,800,49,5,0.992,3,40,11,21.6,2021,defense
26,김민성,LG,3루수,117,107,854,7,0,54,176,22,0.970,0,0,0,-,2021,defense
26,오재일,삼성,1루수,117,113,936,2,0,864,50,95,0.998,0,0,0,-,2021,defense
28,홍창기,LG,중견수,116,108,891,2,0,194,3,1,0.990,0,0,0,-,2021,defense
28,전준우,롯데,좌익수,116,116,969,0,0,233,6,2,1.000,0,0,0,-,2021,defense
28,김강민,SSG,중견수,116,40,566 1/3,2,0,149,6,3,0.987,0,0,0,-,2021,defense
1,배정대,KT,중견수,144,134,1195 2/3,3,0,313,5,1,0.991,0,0,0,-,2022,defense
1,박해민,LG,중견수,144,142,1205,2,0,355,3,0,0.994,0,0,0,-,2022,defense
3,오지환,LG,유격수,142,137,1167,16,0,210,359,83,0.973,0,0,0,-,2022,defense
4,황재균,KT,3루수,138,133,1147 2/3,12,0,87,207,19,0.961,0,0,0,-,2022,defense
4,송성문,키움,3루수,138,137,1216,15,0,89,250,23,0.958,0,0,0,-,2022,defense
4,박성한,SSG,유격수,138,131,1176,24,0,215,376,97,0.961,0,0,0,-,2022,defense
7,이지영,키움,포수,137,102,994 2/3,11,0,818,77,9,0.988,4,67,33,33.0,2022,defense
7,김선빈,KIA,2루수,137,134,1134 1/3,10,0,246,334,80,0.983,0,0,0,-,2022,defense
9,유강남,LG,포수,134,115,1008 1/3,7,1,821,71,8,0.992,4,91,19,17.3,2022,defense
9,이정후,키움,중견수,134,132,1155 1/3,2,0,304,7,1,0.994,0,0,0,-,2022,defense
11,나성범,KIA,우익수,132,132,1131 2/3,3,0,223,4,1,0.987,0,0,0,-,2022,defense
11,터크먼,한화,중견수,132,129,1103 2/3,5,0,355,8,2,0.986,0,0,0,-,2022,defense
13,박찬호,KIA,유격수,130,128,1103 1/3,22,0,215,338,66,0.962,0,0,0,-,2022,defense
14,심우준,KT,유격수,129,124,1048 1/3,16,0,211,298,81,0.970,0,0,0,-,2022,defense
14,황대인,KIA,1루수,129,127,1041 1/3,7,0,955,68,82,0.993,0,0,0,-,2022,defense
16,김혜성,키움,2루수,127,123,1080,11,0,293,371,85,0.984,0,0,0,-,2022,defense
17,박세혁,두산,포수,126,110,884,5,0,689,68,10,0.993,7,74,21,22.1,2022,defense
18,강승호,두산,2루수,124,110,945 1/3,14,0,204,300,69,0.973,0,0,0,-,2022,defense
18,정수빈,두산,중견수,124,109,979 2/3,1,0,289,3,0,0.997,0,0,0,-,2022,defense
20,소크라테스,KIA,중견수,123,122,1009 2/3,5,0,302,1,0,0.984,0,0,0,-,2022,defense
21,피렐라,삼성,좌익수,121,121,1026 1/3,5,0,228,7,1,0.979,0,0,0,-,2022,defense
21,채은성,LG,1루수,121,120,935,10,0,896,53,90,0.990,0,0,0,-,2022,defense
23,허경민,두산,3루수,120,117,976 1/3,9,0,111,158,17,0.968,0,0,0,-,2022,defense
23,한유섬,SSG,우익수,120,114,979 2/3,0,0,210,4,0,1.000,0,0,0,-,2022,defense
25,오재일,삼성,1루수,119,112,949,5,0,881,76,87,0.995,0,0,0,-,2022,defense
26,최정,SSG,3루수,117,115,958 1/3,12,0,71,170,12,0.953,0,0,0,-,2022,defense
26,한동희,롯데,3루수,117,112,975,19,0,54,177,18,0.924,0,0,0,-,2022,defense
28,정은원,한화,2루수,116,114,981 2/3,17,0,247,272,63,0.968,0,0,0,-,2022,defense
29,최지훈,SSG,중견수,114,106,921 2/3,1,0,241,8,2,0.996,0,0,0,-,2022,defense
29,박동원,KIA,포수,114,98,865,5,2,703,71,8,0.994,5,40,22,35.5,2022,defense
1,박해민,LG,중견수,142,136,1187 2/3,3,0,338,2,1,0.991,0,0,0,-,2023,defense
2,이재현,삼성,유격수,140,135,1156 1/3,20,0,222,341,70,0.966,0,0,0,-,2023,defense
3,정수빈,두산,중견수,135,131,1111,0,0,318,8,2,1.000,0,0,0,-,2023,defense
4,김상수,KT,유격수,129,123,1020 1/3,6,0,176,259,54,0.986,0,0,0,-,2023,defense
5,박성한,SSG,유격수,128,124,1090 1/3,19,0,218,368,90,0.969,0,0,0,-,2023,defense
5,문보경,LG,3루수,128,126,1090 2/3,20,0,104,183,24,0.935,0,0,0,-,2023,defense
5,박동원,LG,포수,128,112,982,8,4,751,72,9,0.990,8,83,19,18.6,2023,defense
5,박찬호,KIA,유격수,128,121,1042 2/3,14,0,206,303,68,0.973,0,0,0,-,2023,defense
9,김주원,NC,유격수,127,122,1030,29,0,177,313,67,0.944,0,0,0,-,2023,defense
10,김혜성,키움,2루수,126,124,1067,15,0,247,374,79,0.976,0,0,0,-,2023,defense
10,허경민,두산,3루수,126,116,997 2/3,5,0,90,155,15,0.980,0,0,0,-,2023,defense
12,오지환,LG,유격수,125,115,1010 2/3,14,0,176,275,64,0.970,0,0,0,-,2023,defense
12,김민석,롯데,중견수,125,107,933 2/3,1,0,243,3,0,0.996,0,0,0,-,2023,defense
14,노시환,한화,3루수,122,121,1065 2/3,19,0,114,228,20,0.947,0,0,0,-,2023,defense
15,김민식,SSG,포수,121,87,786 2/3,1,4,601,62,7,0.998,6,65,18,21.7,2023,defense
16,최재훈,한화,포수,120,106,884 1/3,3,2,704,67,4,0.996,6,60,27,31.0,2023,defense
17,장성우,KT,포수,116,104,886,6,0,719,43,10,0.992,2,76,13,14.6,2023,defense
18,최정,SSG,3루수,114,112,934 1/3,13,0,70,175,24,0.950,0,0,0,-,2023,defense
18,오스틴,LG,1루수,114,113,930 1/3,14,0,832,72,88,0.985,0,0,0,-,2023,defense
18,김선빈,KIA,2루수,114,111,895 1/3,7,0,180,270,74,0.985,0,0,0,-,2023,defense
18,박민우,NC,2루수,114,108,874 2/3,15,0,196,264,56,0.968,0,0,0,-,2023,defense
22,소크라테스,KIA,중견수,113,106,827 1/3,2,0,249,2,0,0.992,0,0,0,-,2023,defense
23,알포드,KT,좌익수,112,108,858,3,0,209,5,1,0.986,0,0,0,-,2023,defense
24,양석환,두산,1루수,111,111,920 2/3,10,0,785,64,69,0.988,0,0,0,-,2023,defense
25,최지훈,SSG,중견수,109,100,871 2/3,3,0,225,3,1,0.987,0,0,0,-,2023,defense
25,유강남,롯데,포수,109,98,821,4,0,714,60,2,0.995,9,71,20,22.0,2023,defense
27,황재균,KT,3루수,107,103,895,11,0,82,162,14,0.957,0,0,0,-,2023,defense
27,노진혁,롯데,유격수,107,95,827,11,0,142,220,50,0.971,0,0,0,-,2023,defense
29,홍창기,LG,우익수,104,97,841 2/3,2,0,198,7,3,0.990,0,0,0,-,2023,defense
29,김현준,삼성,중견수,104,101,872,5,0,301,4,2,0.984,0,0,0,-,2023,defense
1,박해민,LG,중견수,143,128,1127,1,0,283,2,0,0.997,0,0,0,-,2024,defense
2,황재균,KT,3루수,135,127,1085,14,0,83,171,14,0.948,0,0,0,-,2024,defense
2,박성한,SSG,유격수,135,128,1115,23,0,209,332,68,0.959,0,0,0,-,2024,defense
4,김도영,KIA,3루수,134,132,1111,30,0,77,216,26,0.907,0,0,0,-,2024,defense
5,정수빈,두산,중견수,133,131,1114,1,0,313,5,1,0.997,0,0,0,-,2024,defense
6,김주원,NC,유격수,132,115,1023 2/3,18,0,195,287,61,0.964,0,0,0,-,2024,defense
6,박찬호,KIA,유격수,132,129,1120 1/3,23,0,213,328,72,0.959,0,0,0,-,2024,defense
8,양석환,두산,1루수,131,130,1118,10,0,944,84,78,0.990,0,0,0,-,2024,defense
9,문보경,LG,3루수,129,120,975,10,0,89,186,21,0.965,0,0,0,-,2024,defense
10,홍창기,LG,우익수,127,120,1037,10,0,257,7,3,0.964,0,0,0,-,2024,defense
11,노시환,한화,3루수,126,125,1098 1/3,9,0,97,196,26,0.970,0,0,0,-,2024,defense
12,박동원,LG,포수,124,109,944 2/3,4,3,809,77,10,0.996,6,87,29,25.0,2024,defense
12,신민재,LG,2루수,124,113,984,11,0,257,299,77,0.981,0,0,0,-,2024,defense
12,강승호,두산,2루수,124,118,988,12,0,234,286,56,0.977,0,0,0,-,2024,defense
15,최주환,키움,1루수,122,116,1027 2/3,6,0,906,60,94,0.994,0,0,0,-,2024,defense
16,최정,SSG,3루수,121,116,954 2/3,13,0,57,169,17,0.946,0,0,0,-,2024,defense
17,강민호,삼성,포수,120,95,803,2,1,631,53,9,0.997,6,72,22,23.4,2024,defense
18,최지훈,SSG,중견수,119,113,989 2/3,7,0,237,5,2,0.972,0,0,0,-,2024,defense
18,김혜성,키움,2루수,119,118,1015,16,0,258,342,83,0.974,0,0,0,-,2024,defense
20,에레디아,SSG,좌익수,117,115,975,3,0,211,8,2,0.986,0,0,0,-,2024,defense
20,이지영,SSG,포수,117,105,914 2/3,7,1,919,61,9,0.993,2,87,26,23.0,2024,defense
20,김지찬,삼성,중견수,117,103,859,3,0,259,0,0,0.989,0,0,0,-,2024,defense
23,김형준,NC,포수,116,104,870 1/3,12,0,761,59,12,0.986,5,51,31,37.8,2024,defense
24,권희동,NC,좌익수,115,101,834 2/3,2,0,216,11,2,0.991,0,0,0,-,2024,defense
24,김선빈,KIA,2루수,115,112,884,10,0,206,284,66,0.980,0,0,0,-,2024,defense
24,소크라테스,KIA,좌익수,115,86,755 1/3,2,0,168,4,1,0.989,0,0,0,-,2024,defense
24,최재훈,한화,포수,115,95,791 2/3,5,3,746,60,6,0.994,5,58,23,28.4,2024,defense
28,장성우,KT,포수,114,105,856 1/3,2,0,780,56,6,0.998,6,97,17,14.9,2024,defense
29,배정대,KT,중견수,113,110,958,7,0,266,3,1,0.975,0,0,0,-,2024,defense
29,나승엽,롯데,1루수,113,111,937 1/3,11,0,813,67,89,0.988,0,0,0,-,2024,defense
