FA년도,구단명,선수명,세부 포지션,인정년수,구분,FA등급,플레이년도,Age,G,GS,GR,W,L,S,BLSV,HD,BLHD,IP,ER,H,2B,3B,HR,BB,HP,SO,WP,ERA,선발 이닝,구원 이닝,선발 WAR,구원 WAR,종합 WAR,연봉,비고1,비고2
2014,KIA,유동훈,RP,,FA 1년차,,2013,36,49,0,49,1,3,0,0,5,1,52.1,17,56,14,1,3,12,7,38,1,2.92,0,52.1,,0.85,0.85,17500,,
2018,두산,유희관,SP,8,신규,A,2017,31,30,29,1,11,6,0,0,1,0,188.2,95,228,37,3,20,41,10,106,5,4.53,188.1,0.1,3.9,-0.01,3.89,50000,대졸,
2019,두산,유희관,SP,8,신규,A,2018,32,29,28,1,10,10,0,0,0,0,141,105,197,41,3,23,42,4,81,1,6.7,138,3,0.78,0.09,0.87,50000,대졸,
2020,두산,유희관,SP,8,신규,A,2019,33,28,27,1,11,8,0,0,0,0,166.1,60,171,37,2,8,42,3,64,2,3.25,165.2,0.2,4.71,-0.19,4.52,35000,대졸,
2021,두산,유희관,SP,8,신규,A,2020,34,27,27,0,10,11,0,0,0,0,136.1,76,190,37,5,14,39,3,56,1,5.02,136.1,0,1.49,,1.49,47000,대졸,
2022,두산,유희관,SP,,FA 1년차,,2021,35,15,15,0,4,7,0,0,0,0,63,54,107,14,3,10,24,3,23,0,7.71,63,0,-0.57,,-0.57,30000,,
2017,한화,윤규진,RP,9,신규,A,2016,32,41,16,25,7,7,1,0,3,2,100.1,76,125,16,2,19,54,8,74,4,6.82,71.1,29,0.74,0.26,1,17000,고졸,
2018,한화,윤규진,SP,9,신규,A,2017,33,36,18,18,8,7,0,0,2,0,119,69,138,20,2,19,44,4,93,5,5.22,98.2,20.1,2.36,-0.08,2.28,18000,고졸,
2019,한화,윤규진,SP,9,신규,A,2018,34,18,17,1,2,6,0,0,0,0,84,55,99,22,2,14,30,6,81,3,5.89,82,2,0.95,0,0.95,21000,고졸,
2020,한화,윤규진,RP,9,신규,A,2019,35,3,0,3,0,0,0,0,0,0,4.1,5,6,2,1,0,1,0,1,0,10.38,0,4.1,,-0.09,-0.09,20000,고졸,
2021,한화,윤규진,RP,,FA 1년차,,2020,36,2,0,2,0,0,0,0,0,0,3.2,3,7,0,0,1,1,0,4,0,7.36,0,3.2,,-0.14,-0.14,17000,,
2013,SK,윤길현,RP,9,신규,A,2012,29,5,0,5,0,0,0,,0,,3.1,4,6,,,1,3,0,1,0,10.8,,,,-0.11,-0.11,15500,고졸,
2014,SK,윤길현,RP,9,신규,A,2013,30,45,0,45,3,1,0,0,8,0,43.1,16,35,11,0,5,21,2,47,4,3.32,0,43.1,,0.87,0.87,12500,고졸,
2015,SK,윤길현,RP,9,신규,A,2014,31,59,0,59,3,3,7,3,9,2,57.2,25,49,10,1,7,28,1,63,9,3.9,0,57.2,,1.05,1.05,14500,고졸,
2016,SK,윤길현,CP,9,신규,A,2015,32,70,0,70,0,4,13,5,17,0,62.2,22,58,12,0,7,36,2,62,3,3.16,0,62.2,,1.21,1.21,22000,고졸,
2017,롯데,윤길현,RP,,FA 1년차,,2016,33,62,0,62,7,7,2,8,16,0,60,40,75,17,3,8,22,2,50,3,6,0,60,,0.2,0.2,50000,,
